x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
206,406,350,441,206,472,95,206,472,350,432,206,390,156,156,350,472,390,156,406,432,206,406,406,390,350,406,472,472,270,270,95,432,270,432,270,156,270,156,350,206,206,472,472,156,206,350,156,156,432,406,95,95,1,350,156,472,270,406,206,270,390,1,270,432,206,1,95,350,206,390,270,206,156,1,441,472,350,156,156,1,270,270,95,270,350,270,350,298,441,156,156,390,1,406,390,1,95,1,270,206,95,95,156,1,206,206,95,441,206,406,472,350,390,350,270,472,350,206,390,350,156,156,472,350,1,1,350,95,1,472,441,270,350,406,95,350,270,472,270,1,95,350,95,432,156,156,406,406,441,350,206,95,390,1,156,206,206,95,270,156,270,441,1,350,406,206,206,350,441,472,350,206,270,441
406,472,298,472,472,270,472,1,472,1,472,472,472,139,472,472,350,441,390,95,472,390,350,206,441,472,350,206,270,432,350,270,441,432,472,350,350,441,1,270,270,472,270,156,95,270,206,206,270,270,206,270,472,350,350,350,406,156,270,432,95,350,472,206,432,350,156,406,156,156,95,270,350,350,270,206,441,206,406,406,95,350,206,350,298,472,156,350,156,472,156,95,95,206,270,472,206,270,350,1,1,390,156,156,350,156,350,270,206,1,350,350,139,472,350,206,139,390,156,350,206,350,1,350,206,95,270,156,206,95,1,95,1,1,406,95,139,350,156,139,441,1,390,1,270,432,206,206,206,156,139,350,472,95,95,1,206,1,350,298,406,156,156,472,350,350,406,472,156,95,390,95,472,441,95
390,432,406,406,206,406,472,406,390,350,472,1,406,472,441,206,432,406,270,350,432,350,390,270,441,406,441,441,390,298,156,350,472,472,206,350,406,206,390,350,350,441,472,441,270,350,270,1,350,350,206,95,390,432,472,298,298,350,156,1,350,390,350,350,270,1,472,432,350,350,390,206,156,206,406,1,441,1,406,206,472,406,350,156,139,441,390,270,350,270,1,95,270,472,95,270,472,206,390,350,406,350,206,390,95,390,270,270,156,406,206,270,406,350,156,432,1,270,270,298,1,95,156,350,270,472,206,156,1,270,350,350,1,406,95,206,441,139,1,206,350,406,95,406,432,270,1,350,350,156,441,270,206,350,441,270,95,1,350,472,206,270,350,206,95,1,95,406,95,139,298,270,206,472,390
270,406,441,472,472,350,350,472,206,156,432,1,270,472,472,350,270,390,441,406,432,270,432,139,1,270,270,270,472,206,270,270,206,472,1,270,390,156,441,472,270,206,406,270,472,206,432,390,350,390,406,1,270,206,206,95,206,270,350,350,406,139,390,270,270,95,472,350,270,156,298,206,206,156,206,270,270,406,206,350,206,206,156,350,270,1,350,390,472,156,350,390,139,1,298,270,298,206,1,95,156,1,156,1,350,390,350,432,350,95,390,406,472,206,1,1,206,1,206,206,1,1,350,95,472,298,139,1,95,1,472,156,1,270,350,206,156,350,1,206,139,95,270,206,156,390,472,472,206,270,350,432,390,206,390,350,406,472,1,270,350,95,432,350,350,390,472,350,350,441,406,406,432,406,1
350,1,95,441,441,432,270,298,441,390,206,350,350,350,95,206,441,472,441,432,270,390,406,95,406,139,1,270,441,350,390,206,390,472,350,441,472,441,406,206,95,350,206,206,441,270,206,350,406,472,350,350,350,406,350,95,206,139,390,95,350,95,270,350,350,1,95,472,270,350,350,206,206,1,432,206,270,95,270,472,390,390,156,406,139,206,472,156,350,432,1,406,432,206,350,406,270,156,350,270,139,206,298,432,270,350,350,350,472,406,206,156,206,206,1,350,472,406,95,441,206,1,206,298,350,472,206,1,95,206,270,156,350,350,350,441,298,350,472,390,350,206,432,270,95,206,390,472,350,350,95,270,406,206,350,206,1,441,1,472,472,441,350,156,95,441,139,390,1,156,406,441,441,350,350
441,472,350,390,270,441,350,270,350,95,206,350,350,206,406,390,350,472,406,432,156,270,472,390,156,95,350,472,350,350,270,156,350,350,206,298,350,270,406,156,206,350,95,441,472,350,441,1,406,156,206,95,206,1,139,390,350,472,270,350,406,472,95,139,406,432,390,206,1,206,95,270,156,270,206,206,270,156,472,206,350,406,350,441,156,298,441,1,350,406,270,298,406,206,441,350,406,270,206,390,441,95,472,156,350,206,390,350,1,350,350,206,350,1,441,441,206,270,270,156,95,406,139,95,270,441,270,206,390,95,206,472,1,350,350,139,206,95,1,206,206,270,406,156,270,270,95,441,472,139,95,1,206,270,441,95,156,206,350,432,472,406,432,270,206,139,206,139,472,350,350,350,406,1,441
472,406,390,350,206,270,472,270,206,441,350,441,390,270,390,156,472,472,156,441,441,1,390,441,270,350,441,350,298,406,350,350,350,406,472,390,270,406,270,206,406,270,1,441,350,432,472,350,270,472,350,156,390,350,156,206,270,390,298,206,156,156,206,350,1,1,406,390,206,472,390,270,270,270,156,472,472,270,206,406,1,472,350,270,206,441,270,472,390,270,270,298,390,406,95,350,1,270,206,206,1,432,350,95,350,406,390,350,156,472,206,1,139,270,390,206,406,156,206,390,156,472,350,156,206,298,350,472,206,270,1,406,95,406,441,156,350,390,1,432,406,206,206,350,350,432,406,441,206,432,406,156,270,139,406,406,350,270,350,156,270,350,350,406,156,298,139,156,270,298,441,95,350,350,350
406,156,472,156,472,432,472,350,156,390,350,441,350,472,1,406,350,441,350,350,156,472,350,390,432,206,350,95,472,156,270,95,206,406,156,350,472,472,350,432,441,390,350,350,472,350,390,1,270,350,406,95,390,270,350,350,432,206,472,139,95,472,206,350,441,350,206,350,206,270,298,350,156,472,350,472,350,95,156,270,156,350,1,406,95,298,206,139,350,350,1,206,441,95,472,472,406,156,1,472,95,95,432,95,206,350,441,206,1,298,472,350,432,406,350,441,350,298,206,270,1,1,156,139,206,1,441,156,1,139,350,270,139,406,95,139,270,95,270,95,1,270,206,270,350,1,390,156,472,1,350,472,432,406,298,432,206,1,350,350,1,472,441,406,350,270,350,472,1,206,206,206,441,95,472
441,270,432,1,139,206,472,350,406,270,441,1,270,95,472,95,406,270,156,441,390,390,432,139,206,441,472,95,432,206,432,95,432,139,390,441,270,472,270,206,206,472,270,350,472,270,406,206,350,156,139,390,390,95,472,1,270,350,270,139,472,406,206,350,390,156,270,350,350,390,206,139,441,95,350,441,1,206,139,206,441,432,406,441,350,95,1,156,406,350,1,270,95,350,406,1,270,1,156,350,350,350,472,472,390,206,390,406,432,270,139,1,390,270,350,472,390,432,156,350,406,270,95,95,350,1,270,441,95,270,472,441,1,1,139,206,270,156,95,1,139,1,270,406,206,406,350,270,350,441,156,432,139,298,472,390,472,406,472,139,441,441,350,406,432,441,156,432,1,390,350,472,206,270,206
270,441,270,1,441,350,472,350,441,432,298,406,270,206,441,472,95,206,406,95,350,406,350,350,95,156,390,298,156,270,206,406,406,270,441,472,472,350,1,206,406,350,206,350,206,270,472,350,406,270,95,441,406,270,270,95,472,95,350,206,95,390,350,472,95,156,1,298,350,156,350,472,95,432,270,139,1,156,156,1,95,206,406,472,206,350,350,206,1,270,406,270,472,390,406,350,206,472,472,441,441,270,432,472,441,156,1,156,472,406,406,139,1,1,270,406,350,350,156,472,270,1,1,350,406,350,270,390,432,156,95,270,1,390,95,206,95,350,390,139,441,270,95,441,206,270,95,1,156,156,156,298,298,390,206,432,206,1,270,270,406,156,472,432,390,156,1,472,441,472,472,406,270,350,432
406,390,350,390,206,156,406,472,206,156,406,390,350,432,1,1,350,472,390,472,406,472,270,472,472,441,472,390,350,206,350,406,350,472,298,270,350,441,270,1,206,350,472,156,156,432,472,139,406,406,270,270,206,441,441,432,390,95,472,441,206,390,441,270,95,156,270,350,472,441,1,350,270,390,206,298,390,298,156,406,390,95,441,441,350,472,270,432,270,432,270,390,350,206,1,406,95,206,139,1,156,390,406,206,350,206,1,270,472,350,95,350,95,156,1,95,390,270,206,406,156,206,95,270,206,206,390,206,390,350,472,472,270,270,406,406,95,206,206,441,95,206,441,350,390,270,350,206,206,298,432,432,139,350,350,270,472,472,472,139,390,406,472,406,432,350,350,156,390,270,1,350,441,472,206
472,441,206,350,406,206,139,1,350,1,1,350,472,350,95,206,350,95,390,270,472,1,350,156,472,270,390,350,441,390,156,472,350,390,432,390,390,1,472,350,350,298,1,156,95,156,350,139,390,139,390,350,350,432,139,270,432,350,441,1,390,406,206,350,350,206,298,390,350,472,1,1,441,95,350,156,432,270,206,270,206,350,270,270,139,156,406,270,350,406,156,156,1,270,206,441,95,441,95,206,206,390,1,406,406,1,206,206,441,350,270,390,270,406,472,206,390,1,270,472,406,139,1,350,350,298,139,270,206,298,270,472,156,270,95,206,270,139,206,270,472,156,441,206,441,406,95,1,390,472,350,441,270,156,406,350,432,156,406,406,472,441,139,270,206,432,441,1,95,270,270,350,406,350,206
390,406,350,472,441,156,432,1,406,156,156,406,95,441,270,156,472,95,472,206,350,139,441,472,1,472,390,350,206,139,156,350,432,441,206,139,156,441,432,406,432,156,270,270,406,472,441,298,156,472,350,270,350,206,298,156,206,206,206,406,432,95,350,432,206,406,472,156,139,432,472,441,95,406,95,472,350,406,350,406,441,350,441,206,472,1,350,206,472,406,1,270,472,156,390,350,1,270,1,206,139,350,270,156,1,350,406,270,206,472,441,270,350,156,432,270,406,350,270,432,432,441,1,406,1,270,441,206,350,95,1,406,95,350,350,156,350,139,350,206,441,350,432,95,390,270,270,206,206,350,350,206,406,350,406,350,95,350,441,350,206,350,156,270,1,472,406,270,350,432,390,156,206,206,432
472,139,390,139,350,95,472,406,390,350,350,270,432,139,206,432,350,350,1,472,350,390,432,206,270,432,206,350,406,472,156,1,350,95,270,95,350,350,270,270,406,432,472,406,95,270,432,432,406,270,1,1,432,350,350,441,350,1,156,206,441,441,206,350,441,472,156,472,156,1,1,350,270,350,1,139,472,390,206,156,472,270,270,406,270,206,95,350,432,95,156,95,350,206,270,390,270,432,139,206,390,1,350,1,206,156,390,350,95,441,206,139,270,390,390,350,350,206,432,406,350,350,1,1,1,1,156,270,139,350,206,472,206,206,156,206,1,350,390,156,270,472,441,1,139,270,350,206,390,270,156,350,206,350,350,472,406,350,270,206,406,441,206,432,472,350,270,139,390,1,350,270,350,472,406
441,270,156,390,350,390,472,350,406,441,472,472,350,1,432,206,350,298,156,206,350,441,95,270,472,406,432,270,270,1,206,441,156,390,270,390,390,472,95,270,270,156,206,156,350,472,350,270,406,432,350,156,206,95,298,95,156,206,270,270,441,206,1,270,206,406,206,406,406,156,95,1,139,1,350,390,350,206,95,350,95,350,472,1,95,298,270,270,441,350,432,350,139,472,1,1,95,350,95,1,156,350,472,406,472,95,156,472,270,139,390,406,139,350,206,406,432,472,270,95,350,156,270,406,95,441,472,1,350,95,472,270,206,390,270,156,350,206,432,406,298,206,206,206,441,350,95,1,472,432,350,390,350,206,350,350,406,1,350,139,139,350,390,270,206,350,156,350,350,472,270,441,270,406,432
1,206,95,472,1,406,390,156,406,472,270,95,432,350,350,156,1,95,350,206,432,270,472,350,350,206,156,206,350,206,350,472,441,350,156,298,432,472,95,156,350,95,270,472,472,156,350,270,1,206,441,406,390,390,156,1,472,350,390,206,472,432,441,270,270,1,1,95,298,406,406,406,139,156,406,390,95,95,206,95,1,95,350,441,95,390,350,156,406,270,156,350,95,156,472,156,350,441,406,1,432,139,441,298,390,350,156,441,432,390,1,441,95,406,1,406,1,95,350,406,350,441,206,270,156,472,270,206,270,406,270,156,472,156,390,156,270,1,270,139,406,298,350,270,206,406,350,270,139,270,156,206,441,390,206,139,139,432,406,441,95,350,350,156,270,270,472,350,298,206,472,406,206,441,206
206,390,390,270,139,298,390,156,472,270,390,270,390,156,350,472,472,350,406,350,298,406,206,390,350,270,156,1,432,206,406,406,406,406,406,406,350,350,432,95,390,95,139,156,350,156,298,472,95,206,441,1,472,390,406,350,95,441,350,95,472,270,206,390,206,432,406,472,350,406,1,406,350,156,350,1,441,206,350,472,206,270,206,270,156,350,472,472,206,206,1,441,472,1,1,1,139,206,1,206,390,206,1,441,270,95,350,1,95,156,406,441,270,270,350,390,350,406,206,95,406,1,1,350,139,406,441,206,1,270,390,270,350,270,206,298,406,156,270,156,1,139,156,206,406,472,441,406,156,350,206,472,206,270,139,206,270,95,95,270,441,390,270,156,206,406,95,270,156,406,406,441,206,350,1
270,95,441,1,206,270,472,441,95,156,472,1,406,270,270,350,406,270,1,390,1,350,270,298,406,270,390,406,206,472,390,406,472,390,270,390,95,390,406,156,95,156,350,270,390,390,441,441,270,472,1,441,270,206,350,206,472,472,95,432,390,156,432,95,432,350,206,206,350,1,350,206,432,156,95,441,270,441,270,206,350,406,406,95,406,472,270,270,1,390,441,472,95,206,95,472,270,156,390,472,95,432,156,390,441,270,350,472,156,350,206,390,406,350,390,390,270,1,270,95,432,298,432,139,472,432,350,441,350,206,206,95,390,95,432,139,472,406,390,406,350,406,95,156,1,390,432,406,270,156,350,298,472,472,441,350,350,350,270,406,406,156,406,472,350,432,270,206,270,406,95,350,406,406,350
156,350,1,1,432,406,206,270,270,270,156,139,1,350,270,1,156,390,350,390,270,350,1,350,432,270,206,406,206,390,270,441,139,432,350,406,1,390,156,206,298,270,350,390,156,156,472,406,406,350,270,350,270,441,95,472,350,350,350,390,95,1,350,206,350,270,1,206,406,1,350,156,1,270,350,472,350,390,350,406,139,472,390,156,350,350,206,406,270,270,95,472,350,206,406,270,1,441,206,350,206,206,432,390,95,206,406,298,270,156,270,350,432,406,270,406,472,270,270,206,350,472,139,95,1,406,270,406,432,206,441,472,270,1,1,156,270,206,206,390,432,390,156,1,441,472,472,156,472,139,390,350,1,350,298,270,441,350,270,350,95,472,472,270,156,350,472,390,406,472,350,270,298,472,95
350,95,139,156,441,350,350,441,206,206,390,206,350,1,1,406,350,350,441,1,270,390,270,432,350,206,270,432,95,298,270,350,390,270,350,139,432,432,406,206,1,270,472,270,1,406,156,206,432,472,95,206,441,156,270,350,270,432,390,270,390,472,441,206,390,270,139,350,472,156,206,95,406,472,350,206,95,156,206,350,390,390,350,95,206,156,350,270,1,441,1,350,156,432,390,441,406,95,406,156,270,390,406,139,350,406,390,390,270,472,1,350,270,350,206,206,406,156,432,270,1,432,350,350,206,406,270,206,206,441,270,156,206,350,432,472,206,350,1,390,270,390,95,1,350,206,139,472,390,350,472,206,350,390,472,350,350,206,390,406,206,95,298,390,350,270,441,472,350,350,406,472,390,1,270
298,206,432,350,390,1,350,298,156,206,298,390,406,390,350,206,206,206,406,270,406,472,270,350,406,350,206,406,206,390,95,95,350,270,432,472,156,270,472,472,350,406,406,406,206,350,95,350,206,432,432,270,1,390,95,441,350,156,350,95,1,1,472,472,270,156,350,156,390,206,270,350,432,206,432,406,390,406,432,206,270,206,472,206,156,441,472,206,350,441,298,472,441,206,1,472,350,156,270,1,350,350,1,406,1,441,472,390,206,1,432,1,472,298,206,472,206,472,432,139,441,406,156,270,270,206,270,206,206,472,406,206,406,472,350,406,1,406,270,406,298,270,406,406,270,206,406,206,270,270,406,270,270,350,350,156,270,1,270,472,390,350,441,95,350,390,350,350,350,95,441,350,350,472,206
95,270,270,206,270,156,390,472,350,441,432,1,270,270,1,270,1,350,432,472,206,441,95,390,350,206,156,206,1,156,432,95,472,406,432,270,390,350,406,350,390,432,95,139,472,472,350,350,1,432,441,390,206,95,206,206,406,206,406,390,156,298,270,206,406,206,472,441,298,156,406,206,298,156,270,350,206,270,1,350,350,95,95,270,298,95,270,406,441,390,390,472,350,206,270,406,206,432,156,270,1,270,156,390,270,406,350,206,350,270,156,270,156,472,206,156,270,206,1,156,206,270,1,206,350,441,139,406,350,432,390,1,350,472,298,441,156,95,350,406,472,350,432,350,206,472,350,406,206,441,1,270,406,472,432,206,270,350,441,206,441,206,270,270,406,472,95,206,472,350,472,350,441,206,95
156,350,350,1,406,390,441,350,390,390,95,270,406,95,206,1,472,390,432,350,206,139,1,206,270,206,206,270,472,350,156,406,1,95,95,270,406,95,270,95,206,350,270,472,432,441,472,390,472,206,156,270,206,441,441,472,350,390,156,350,472,472,270,441,406,206,472,472,472,206,406,156,350,270,139,206,390,390,350,156,1,206,1,390,441,406,390,206,472,270,432,270,390,406,350,406,390,390,472,432,350,206,270,139,206,270,298,472,206,156,472,298,472,270,206,472,206,441,350,350,350,406,270,350,156,441,156,350,350,156,432,472,390,406,472,350,472,350,270,432,1,95,441,156,390,406,156,1,1,95,472,1,206,350,156,406,139,270,270,390,156,390,441,472,350,406,350,390,406,350,270,206,350,406,206
95,1,1,390,270,406,441,350,270,350,406,206,406,1,95,350,472,95,95,298,270,298,298,406,472,156,206,472,270,390,206,350,350,406,406,472,156,139,432,206,432,350,350,441,206,95,270,206,406,270,350,406,390,139,156,350,270,270,350,206,156,156,206,390,156,206,350,350,206,156,350,156,406,206,441,472,1,406,206,432,270,432,350,206,390,1,270,390,390,1,472,350,1,406,206,1,95,156,350,298,406,350,441,206,270,390,206,441,350,156,350,156,95,350,1,406,270,206,270,406,390,95,270,350,206,156,406,472,206,206,472,350,350,206,406,270,472,441,156,270,95,206,270,406,432,350,206,472,156,95,1,406,441,432,95,206,441,350,350,441,390,206,95,472,270,350,1,350,206,472,350,95,1,206,390
156,406,350,270,156,156,206,156,350,156,206,270,350,350,390,95,350,270,472,95,1,270,95,390,406,350,206,472,95,1,95,350,206,298,206,298,1,441,432,390,406,270,390,270,406,472,350,298,406,270,350,406,350,472,206,390,270,206,350,1,95,156,206,206,156,432,432,472,390,1,406,390,1,390,472,350,206,472,270,206,472,350,390,270,441,270,390,472,406,406,270,350,1,156,350,206,350,1,1,406,441,441,472,139,390,406,95,406,441,1,270,270,350,270,390,472,350,406,95,472,472,432,206,139,270,206,95,390,350,441,156,441,139,206,472,95,206,406,350,390,350,441,472,441,206,1,270,1,1,270,270,95,441,350,432,270,350,350,350,350,1,156,206,270,95,350,350,95,390,156,350,350,270,406,350
270,95,406,95,270,406,390,350,156,406,472,206,1,270,1,1,95,95,432,432,390,472,139,206,156,350,390,206,95,1,1,270,350,206,350,472,472,270,406,206,406,390,206,406,441,441,206,139,270,432,406,1,156,206,156,472,270,350,206,206,350,390,139,270,432,156,206,95,206,350,270,350,1,139,206,206,350,350,270,1,1,298,270,95,432,139,139,390,298,390,432,441,472,472,441,441,432,1,472,1,441,350,350,350,350,432,156,1,441,270,298,270,156,406,270,350,206,441,156,270,472,206,432,1,270,406,1,390,1,472,270,1,270,156,156,406,350,350,432,472,406,95,156,350,156,350,298,406,406,472,390,156,472,472,432,406,156,95,472,472,406,441,350,441,156,390,270,1,390,156,270,441,270,390,350
441,95,270,1,206,390,95,350,1,441,350,472,432,350,390,390,441,1,270,472,472,270,1,95,350,139,156,270,350,1,350,1,206,350,206,390,390,270,206,406,206,390,441,406,472,156,95,432,350,472,206,390,441,270,441,206,432,206,390,206,350,206,156,1,472,406,1,156,472,270,472,472,270,270,206,95,206,1,350,406,1,350,206,390,406,350,472,270,270,350,350,432,139,390,1,1,1,350,95,1,156,156,441,406,350,270,270,472,472,390,390,206,156,350,206,406,472,95,206,390,139,156,156,270,472,270,270,270,432,206,350,350,1,156,406,95,441,441,270,390,350,1,206,390,206,206,350,472,156,350,390,350,390,472,1,390,95,432,472,139,441,406,206,270,441,472,95,432,270,432,390,95,350,206,472
1,406,472,350,270,390,390,95,350,390,95,139,270,350,298,472,139,298,1,1,270,441,350,390,350,441,350,350,406,95,350,270,95,139,156,95,95,270,390,139,270,156,139,156,472,270,406,432,432,206,406,390,472,156,441,95,350,441,472,139,1,472,298,206,350,95,1,206,156,156,406,441,206,472,350,472,270,390,270,441,390,1,472,350,406,95,350,406,406,472,406,390,406,270,350,270,350,432,350,206,1,156,270,350,270,472,139,206,472,350,432,156,441,432,472,406,206,270,441,350,1,95,390,472,406,206,441,206,350,350,270,95,390,350,350,270,472,472,206,95,95,432,432,472,350,156,1,95,350,206,350,206,472,206,390,406,406,206,350,406,1,472,406,156,95,472,270,95,350,441,441,350,441,472,390
270,406,270,206,95,270,432,472,206,350,472,270,156,1,206,406,95,270,432,206,472,156,350,432,270,206,472,1,270,350,95,390,432,390,1,390,350,406,432,406,206,139,1,390,1,1,472,139,350,270,350,156,156,95,270,406,139,406,270,139,1,298,139,406,270,95,350,156,1,441,350,156,406,270,139,472,350,270,441,441,390,95,472,472,406,472,472,206,156,472,432,156,1,270,390,206,206,406,432,350,350,432,156,390,350,350,270,206,390,406,139,390,472,472,406,156,206,472,406,156,1,472,156,156,206,1,350,390,270,156,270,390,95,406,95,156,406,432,472,156,390,270,1,270,95,156,390,156,432,1,441,206,1,390,350,441,270,472,156,350,270,270,472,1,270,206,390,472,472,95,350,441,472,270,390
206,156,139,1,406,270,1,270,298,1,350,350,441,350,270,390,156,390,350,95,206,432,350,206,432,350,270,298,95,441,350,350,206,406,350,270,206,406,350,156,472,472,1,472,350,206,390,441,406,472,350,1,441,472,1,472,472,270,406,390,472,270,95,270,406,156,156,206,350,206,270,270,441,156,95,441,390,156,206,270,350,441,350,156,350,350,206,270,270,298,406,156,432,206,472,406,406,432,156,206,206,95,95,139,350,1,206,206,441,156,95,270,441,432,156,206,156,432,441,472,390,432,139,441,156,270,350,270,390,1,270,206,441,298,139,406,390,472,472,441,406,350,206,441,432,95,472,390,95,156,432,350,406,406,350,139,95,406,206,270,390,350,270,206,390,390,390,390,350,350,1,472,390,472,1
472,390,206,95,390,156,390,350,350,406,270,156,298,270,270,1,406,350,206,206,270,156,270,206,1,95,270,472,270,406,95,156,1,206,298,432,390,156,206,156,1,206,406,441,206,350,441,350,95,406,298,206,206,206,472,406,206,472,206,270,406,1,350,406,270,206,95,472,1,350,472,350,1,270,270,298,95,156,270,156,390,350,390,390,1,206,472,270,95,350,298,390,1,95,406,350,472,406,350,1,270,350,1,441,156,441,1,390,441,156,350,350,156,472,472,350,432,156,472,95,1,432,350,390,139,472,472,1,1,350,406,1,270,95,350,441,406,350,406,206,472,1,441,95,350,390,270,206,350,406,206,270,350,139,472,390,350,95,406,350,390,390,472,270,432,270,95,441,350,406,95,206,390,298,472
350,156,270,1,270,139,350,1,270,206,206,270,390,95,350,441,350,350,1,350,206,206,206,1,350,390,95,350,270,156,390,350,472,472,390,350,95,95,406,350,1,206,139,432,350,206,390,1,406,1,95,95,441,206,270,270,206,406,350,156,406,156,1,472,139,472,350,350,390,472,472,206,406,406,390,206,156,156,298,350,95,472,206,270,390,350,432,1,350,1,406,95,1,95,406,95,270,270,441,298,350,406,1,1,432,206,390,270,350,432,270,441,406,350,350,406,270,298,350,432,95,270,350,139,206,350,472,95,441,406,95,206,350,406,95,1,1,406,441,350,270,95,472,472,406,472,390,95,390,390,270,350,1,406,350,390,432,156,156,350,206,270,406,350,390,441,350,472,406,270,270,350,206,298,350
270,350,350,350,406,156,1,390,350,1,270,156,270,350,156,95,406,350,441,350,441,1,156,432,350,298,139,270,390,156,350,1,206,432,270,350,350,1,206,472,441,390,270,95,156,350,270,298,156,406,270,139,1,270,206,206,350,270,270,156,270,206,406,298,270,406,472,156,441,206,350,1,270,206,270,472,406,206,156,156,270,350,406,156,472,472,95,350,95,432,270,270,472,350,206,270,406,350,350,270,1,270,95,350,390,270,350,472,206,1,350,406,390,350,432,1,390,441,406,390,139,390,270,270,206,206,95,270,350,350,270,95,206,270,432,390,1,270,95,406,270,206,350,350,270,472,95,1,441,406,390,406,390,1,206,95,206,432,350,472,95,95,270,472,390,1,441,206,390,270,432,350,139,406,406
406,156,95,350,406,270,1,350,139,472,390,156,95,95,406,472,472,206,350,350,95,206,1,206,350,270,441,390,406,350,441,298,270,406,156,390,156,1,406,406,95,270,441,270,350,406,472,406,1,441,95,472,95,95,139,206,441,472,1,390,270,270,472,350,1,156,350,472,298,206,206,472,472,206,270,350,139,1,206,390,472,95,390,156,95,390,206,406,406,406,270,350,156,95,406,270,472,441,350,406,298,406,390,472,95,441,350,206,270,432,1,406,441,270,472,350,206,1,432,270,95,95,441,206,298,472,390,472,441,298,270,1,95,472,350,156,472,406,95,95,390,406,406,206,472,270,270,1,206,1,350,406,350,95,95,390,406,406,441,206,206,1,406,350,432,206,441,270,441,156,270,441,472,270,206
350,472,390,350,441,156,156,350,350,270,206,1,1,270,95,206,270,472,472,139,1,206,270,406,350,350,350,270,472,156,206,350,441,206,472,441,206,95,156,139,156,1,95,350,472,95,156,156,95,1,432,298,206,441,270,472,432,406,1,206,350,1,441,432,1,156,350,441,270,350,390,432,206,406,95,206,206,472,472,298,270,350,206,350,441,350,270,156,206,298,1,472,390,350,432,472,1,270,472,206,390,206,390,206,390,270,432,206,350,1,156,472,270,1,270,1,270,298,350,270,350,206,406,432,350,472,390,432,390,1,441,441,390,406,432,206,441,270,390,406,156,406,406,1,156,350,406,206,206,472,206,350,472,350,206,441,270,270,206,441,472,206,406,206,472,270,206,472,472,95,406,390,350,432,350
1,1,350,350,270,95,406,390,350,390,472,206,206,270,1,441,1,298,156,350,156,441,206,206,95,156,95,350,406,206,156,95,1,350,298,350,472,441,406,441,206,95,1,270,406,270,350,270,406,1,270,206,156,95,406,350,95,432,206,1,156,156,350,1,95,270,270,270,206,206,350,472,270,350,350,472,406,350,406,156,156,270,139,270,390,95,206,95,206,139,472,472,350,206,441,441,350,406,270,1,441,350,406,156,406,350,270,156,270,270,472,1,406,95,139,406,472,1,390,432,270,206,270,350,441,350,472,156,432,95,406,95,350,206,156,270,270,472,432,472,390,270,432,472,406,441,432,350,350,406,390,95,206,472,350,1,95,406,350,95,270,472,206,298,406,350,270,472,156,432,472,350,270,390,390
1,298,472,441,270,432,432,1,1,270,406,406,95,139,270,270,441,95,406,1,350,156,270,406,1,350,1,406,270,95,95,206,206,95,270,156,270,1,156,1,472,95,390,95,350,270,206,270,270,95,390,206,95,472,206,156,390,472,390,472,350,95,95,156,350,350,432,350,472,472,95,350,95,432,1,206,441,472,350,206,441,95,156,472,156,139,95,350,156,139,95,472,406,350,156,270,1,441,350,406,139,350,270,206,156,472,350,139,350,270,390,139,472,390,270,298,406,95,298,350,298,441,441,472,472,350,1,350,156,270,432,350,441,139,206,270,406,95,298,432,350,270,156,432,441,441,350,432,270,441,1,390,406,139,1,441,472,270,472,441,406,1,406,95,406,350,432,270,139,472,206,406,390,206,95
206,206,406,350,156,156,270,406,390,206,95,270,206,156,350,406,156,406,1,1,390,432,1,350,350,270,156,1,1,472,406,270,441,1,406,206,350,472,390,406,270,406,206,441,350,1,95,441,406,95,270,350,390,156,1,270,472,472,350,350,432,270,95,441,472,441,350,472,390,156,350,350,270,206,350,350,350,390,350,1,350,390,206,1,406,350,95,156,472,441,406,95,472,432,1,406,270,206,270,406,270,350,390,406,350,1,350,406,472,206,472,350,390,390,441,270,95,406,1,1,139,432,298,432,441,472,390,350,1,350,390,350,472,432,390,206,95,406,298,206,350,270,406,406,206,350,270,350,441,406,472,350,432,350,206,270,406,156,350,390,206,406,1,156,472,270,472,350,270,1,1,441,270,406,390
